,Course Number,Course Title,L,P,U
195,CHE F211,Chemical Process Calculations,3,0,3
196,CHE F212,Fluid Mechanics,3,0,3
197,CHE F213,Chemical Engineering Thermodynamics,3,0,3
198,CHE F214,Engineering Chemistry,3,0,3
199,CHE F241,Heat Transfer,3,0,3
200,CHE F242,Numerical Methods for Chemical Engineers,3,0,3
201,CHE F243,Material Science and Engg.,3,0,3
202,CHE F244,Separation Processes I,3,0,3
203,CHE F311,Kinetics and Reactor Design,3,0,3
204,CHE F312,Chemical Engineering Lab I,0,3,3
205,CHE F313,Separation Processes II,3,0,3
206,CHE F314,Process Design Principles I,3,0,3
207,CHE F341,Chemical Engineering Lab II,0,3,3
208,CHE F342,Process Dynamics and Control,3,0,3
209,CHE F343,Process Design Principles II,3,0,3
210,CHE F411,Environmental Pollution Control,3,0,3
211,CHE F412,Process Equipment Design,3,0,3
212,CHE F413,Process Plant Safety,3,0,3
213,CHE F414,Transport Phenomena,3,0,3
214,CHE F415,Molecular and Statistical Thermodynamics,3,0,3
215,CHE F416,Process Plant Design Project I,0,0,3
216,CHE F417,Process Plant Design Project II,0,0,3
217,CHE F418,Modelling and Simulation in Chemical Engineering,3,0,3
218,CHE F419,Chemical Process Technology,3,0,3
219,CHE F421,Bio-chemical Engineering,3,0,3
220,CHE F422,Petroleum Refining Technology,3,0,3
221,CHE F423,Membrane Science and Engineering,3,0,3
222,CHE F424,Rheology of Complex Fluids,3,0,3
223,CHE F433,Corrosion Engineering,3,0,3
224,CHE F471,Advanced Process Control,3,0,3
225,CHE F497,Atomic and Molecular Simulations,0,0,3
226,CHE F498,Colloids and Interface Engineering,0,0,3
227,CHE G511,Fluidization Engineering,3,1,4
228,CHE G512,Petroleum Refining and Petrochemicals,3,1,4
229,CHE G513,Environmental Management Systems,3,2,5
230,CHE G522,Polymer Technology,3,1,4
231,CHE G523,Mathematical Methods in Chemical Engineering,0,0,5
232,CHE G524,Introduction to Multiphase flow,3,1,4
233,CHE G526,Nuclear Engineering,3,1,4
234,CHE G527,Energy Conservation and Management,3,1,4
235,CHE G528,Introduction to Nanoscience & Technology,3,1,4
236,CHE G529,Pulp & Paper Technology,3,1,4
237,CHE G532,Alternate Energy Resources,3,1,4
238,CHE G533,Petroleum Product Characterization,3,2,5
239,CHE G551,Advanced Separation Technology,3,2,5
240,CHE G552,Advanced Transport Phenomena,0,0,5
241,CHE G554,Computational Fluid Dynamics,0,0,4
242,CHE G556,Electrochemical Engineering,3,1,4
243,CHE G557,Energy Systems Engineering,0,0,4
244,CHE G558,Chemical Process Optimization,0,0,4
245,CHE G568,Modeling and Simulation in Petroleum Refining,0,0,4
246,CHE G613,Advanced Mass Transfer,3,2,5
247,CHE G614,Advanced Heat Transfer,3,2,5
248,CHE G616,Petroleum Reservoir Engineering,0,0,5
249,CHE G617,Petroleum Refinery Engg.,3,2,5
250,CHE G618,Petroleum Downstream Processing,3,2,5
251,CHE G619,Process Intensification,3,2,5
252,CHE G620,Energy Integration Analysis,3,1,4
253,CHE G622,Advanced Chemical Engineering Thermodynamics,0,0,5
254,CHE G641,Reaction Engineering,0,0,5
255,CHEM F110,Chemistry Laboratory,0,2,1
256,CHEM F211,Physical Chemistry I,3,0,3
257,CHEM F212,Organic Chemistry I,3,0,3
258,CHEM F213,Physical Chemistry II,3,0,3
259,CHEM F214,Inorganic Chemistry I,3,0,3
260,CHEM F223,Colloid and Surface Chemistry,3,0,3
261,CHEM F241,Inorganic Chemistry II,3,0,3
262,CHEM F242,Chemical Experimentation I,0,3,3
263,CHEM F243,Organic Chemistry II,3,0,3
264,CHEM F244,Physical Chemistry III,3,0,3
265,CHEM F311,Organic Chemistry III,3,0,3
266,CHEM F312,Physical Chemistry IV,3,0,3
267,CHEM F313,Instrumental Methods of Analysis,3,1,4
268,CHEM F320,Introductory Computational Chemistry Laboratory,0,4,2
269,CHEM F323,Biophysical Chemistry,3,0,3
270,CHEM F324,Numerical Methods in Chemistry,3,3,4
271,CHEM F325,Polymer Chemistry,3,0,3
272,CHEM F326,Solid State Chemistry,3,0,3
273,CHEM F327,Electrochemistry: Fundamentals and Applications,3,0,3
274,CHEM F328,Supramolecular Chemistry,3,0,3
275,CHEM F329,Analytical Chemistry,3,1,4
276,CHEM F330,Photophysical Chemistry,3,1,4
277,CHEM F333,Chemistry of Materials,3,0,3
278,CHEM F334,Magnetic Resonance,3,0,3
279,CHEM F335,Organic Chemistry and Drug Design,3,0,3
280,CHEM F336,Nanochemistry,3,1,4
281,CHEM F337,Green Chemistry and Catalysis,3,0,3
282,CHEM F341,Chemical Experimentation II,0,4,4
283,CHEM F342,Organic Chemistry IV,3,0,3
284,CHEM F343,Inorganic Chemistry III,3,0,3
285,CHEM F412,Photochemistry and Laser Spectroscopy,3,0,3
286,CHEM F413,Electron Correlation In Atoms And Molecules,3,1,4
287,CHEM F414,Bio and Chemical Sensors,3,0,3
288,CHEM F415,Frontiers in Organic Synthesis,3,0,3
289,CHEM F422,Statistical Thermodynamics,3,0,3
290,CHEM F430,Atmospheric Chemistry,3,0,3
291,CHEM F431,Sustainable Chemistry using Renewables,3,0,3
292,CHEM G521,Environmental Chemistry,0,0,5
293,CS F111,Computer Programming,3,2,4
294,CS F211,Data Structures & Algorithms,3,1,4
295,CS F212,Database Systems,3,1,4
296,CS F213,Object Oriented Programming,3,1,4
297,CS F214,Logic in Computer Science,3,0,3
298,CS F215,Digital Design,3,1,4
299,CS F222,Discrete Structures for Computer Science,3,0,3
300,CS F241,Microprocessors & Interfacing,3,1,4
301,CS F301,Principles of Programming Languages,2,0,2
302,CS F303,Computer Networks,3,1,4
303,CS F314,Software Development for Portable Devices,2,1,3
304,CS F320,Foundations of Data Science,3,0,3
305,CS F342,Computer Architecture,3,1,4
306,CS F351,Theory of Computation,3,0,3
307,CS F363,Compiler Construction,2,1,3
308,CS F364,Design & Analysis of Algorithms,3,0,3
309,CS F372,Operating Systems,3,0,3
